role,benchmark,parent_tool_id,parent_tool_en,parent_tool_zh,subtool_name_en,subtool_name_zh,expert_label_cqj,expert_label_second_expert_yzx,expert_label_source,expert_label_match_note,expert_label_excel_row
secondary,TruthfulQA (2022),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Imitative falsehood prompting framework with expert-curated false answer templates and counterfactual contrast sets,仿冒虚假提示框架与专家策划错误答案模板及反事实对比集,正确错误,常见谬误真伪,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,81
primary,LegalBench (2023),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Lawyer-Authored Legal Reasoning Task Templates,律师编写的法律推理任务模板,细分专家领域子任务、normative,法律子任务,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,82
secondary,LegalBench (2023),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Lawyer-Authored Legal Reasoning Task Templates,律师编写的法律推理任务模板,细分专家领域子任务、normative,法律子任务,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,82
primary,TrustGPT (2023),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,SocialNorm-Conditioned Toxicity Prompting Framework,社会规范条件下的毒性提示框架,normative,规范毒性提示,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,83
secondary,TrustGPT (2023),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,SocialNorm-Conditioned Toxicity Prompting Framework,社会规范条件下的毒性提示框架,normative,规范毒性提示,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,83
primary,HallusionBench (2024),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Temporal-Sequence Image Reversal Diagnostic Protocol,时序图像反转诊断协议,时序,视觉时序幻觉,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,84
secondary,HallusionBench (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Temporal-Sequence Image Reversal Diagnostic Protocol,时序图像反转诊断协议,时序,视觉时序幻觉,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,84
primary,LawBench (2024),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Multi-step legal fact verification pipeline with jurisdiction-aware grounding,多步骤法律事实验证流水线带司法管辖区感知,normative（查找权威来源）-分解组成要件-验证,法律多步核验,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,85
secondary,LawBench (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Multi-step legal fact verification pipeline with jurisdiction-aware grounding,多步骤法律事实验证流程与司法管辖区感知基础,normative（查找权威来源）-分解组成要件-验证,法律多步核验,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,85
primary,PatentEval (2024),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Domain-specific error typology for patent text generation,专利文本生成领域特定错误分类,细粒度、语言学为基础,专利错误类型,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,86
secondary,PatentEval (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Domain-specific error typology for patent text generation,专利文本生成领域特定错误分类台账,细粒度、语言学为基础,专利错误类型,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,86
primary,TrustLLM (2024),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Cross-dimensional sycophancy reversal probe,跨维度奉承反转探测器,跨维度设计一致,可信多维卡,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,87
secondary,TrustLLM (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Cross-dimensional sycophancy reversal probe,跨维度奉承反转探测器,跨维度设计一致,可信多维卡,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,87
primary,Sycophancy-Sharma (2025),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Sycophancy Reversal Prompting with Multi-Step Fact Verification,奉承逆转提示与多步事实验证,阶段性,谄媚纠偏测试,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,88
secondary,Sycophancy-Sharma (2025),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Sycophancy Reversal Prompting with Multi-Step Fact Verification,奉承反转提示与多步骤事实验证协议,阶段性,谄媚纠偏测试,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,88
primary,HaluEval (2023),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Multi-Source Hallucination Annotation Protocol with Cross-Model Disagreement Filtering,多源幻觉标注协议与跨模型分歧过滤,需要确切的幻觉，对于存在不确定矛盾的幻觉的粒度分析,幻觉人工标注,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,89
secondary,HaluEval (2023),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Multi-Source Hallucination Annotation Protocol with Cross-Model Disagreement Filtering,多源幻觉标注与跨模型分歧过滤协议,需要确切的幻觉，对于存在不确定矛盾的幻觉的粒度分析,幻觉人工标注,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,89
primary,FActScore (2023),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Atomic Fact Decomposition & Support Ratio Scoring,原子事实分解与支持率评分,为原子单元,原子事实评分,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,90
secondary,FActScore (2023),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Atomic Fact Decomposition & Support Ratio Scoring,原子事实分解与支持率评分映射器,为原子单元,原子事实评分,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,90
primary,FreshQA / FreshLLMs (2024),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,False-Premise-Aware Temporal Fact Probe,错误前提感知时间事实探查,动态、时序、反事实提示,新鲜事实/错前提,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,91
secondary,FreshQA / FreshLLMs (2024),T14,"Lifecycle, Hidden-Split & Contamination Governance",生命周期、隐藏集与污染治理,False-Premise-Aware Temporal Fact Probe,虚假前提感知时间事实探查,动态、时序、反事实提示,新鲜事实/错前提,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,91
primary,SycophancyBench / Model-Written Evaluations (2022),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Belief-Contradiction Dialogue Template,信念矛盾对话模板,互动、人机协作、错误观念是否能够矫正,信念冲突对话,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,92
secondary,SycophancyBench / Model-Written Evaluations (2022),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Belief-Contradiction Dialogue Template,信念矛盾对话模板,互动、人机协作、错误观念是否能够矫正,信念冲突对话,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,92
primary,DecodingTrust (2023),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Multi-Dimensional Trust Scorecard,多指标信任评分卡,解耦量化与联合诊断，可以测tradeoff,可信度记分卡,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,93
secondary,DecodingTrust (2023),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Multi-Dimensional Trust Scorecard,多维度信任评分卡,解耦量化与联合诊断，可以测tradeoff,可信度记分卡,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,93
primary,Converse (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Contextual Integrity (CI)-driven vignette templating framework,情境完整性驱动的场景模板框架,角色,CI隐私小剧场,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,94
secondary,Converse (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Contextual Integrity (CI)-driven vignette templating framework,情境完整性驱动的场景模板框架,角色,CI隐私小剧场,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,94
primary,EAI-Bench (2024),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Tiered physical-object privacy sensitivity ladder,分层物理对象隐私敏感度阶梯映射器,分级，敏感分级,物品隐私等级,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,95
secondary,EAI-Bench (2024),T07,Behavioral Coverage Matrix,行为覆盖矩阵,Tiered physical-object privacy sensitivity ladder,分层物理对象隐私敏感梯度,分级，敏感分级,物品隐私等级,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,95
primary,GoldCoin (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Law-grounded contextual integrity question generation pipeline,基于法律的场景完整性问题生成流程,normative、法律适用边界（①法条引用、②情境上下文、③主体角色关系、④传输行为描述）,法条+情境隐私题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,96
secondary,GoldCoin (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Law-grounded contextual integrity question generation pipeline,法律基础的情境完整性问题生成流程,normative、法律适用边界（①法条引用、②情境上下文、③主体角色关系、④传输行为描述）,法条+情境隐私题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,96
primary,PrivacyLens (2024),T09,Agent & Workflow Simulation,智能体与工作流仿真,Contextual Integrity 5-tuple agent trajectory tester,情境完整性五元组智能体轨迹测试器,agent,CI agent轨迹,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,97
secondary,PrivacyLens (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Contextual Integrity 5-tuple agent trajectory tester,场景-利益相关方-信息流五元组代理轨迹测试器,agent,CI agent轨迹,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,97
primary,AgentDAM (2025),T09,Agent & Workflow Simulation,智能体与工作流仿真,Web-based privacy decision sandbox with PII-contaminated intent injection,基于网页的隐私决策沙盒与PII污染意图注入仿真,,,,,
secondary,AgentDAM (2025),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Web-based privacy decision sandbox with PII-contaminated intent injection,基于网页的隐私决策沙盒与PII污染意图注入,,,,,
primary,PrivaCI-Bench (2025),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Multi-jurisdictional CI-aligned MCQ + vignette generator with legal clause anchoring,多司法管辖区CI对齐选择题与情景生成器法律条款锚定,normative，context，主体,多法域CI题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,99
secondary,PrivaCI-Bench (2025),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Multi-jurisdictional CI-aligned MCQ + vignette generator with legal clause anchoring,多司法辖区合规对齐选择题与情景生成器法律条款锚定,normative，context，主体,多法域CI题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,99
primary,Carlini Extraction / Training Data Extraction (2021),T14,"Lifecycle, Hidden-Split & Contamination Governance",生命周期、隐藏集与污染治理,Verbatim Memorization Attack Pipeline,逐字记忆攻击流程,因果关系,训练数据抽取,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,100
secondary,Carlini Extraction / Training Data Extraction (2021),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Verbatim Memorization Attack Pipeline,逐字记忆攻击流程,因果关系,训练数据抽取,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,100
primary,DecodingTrust-Privacy (2023),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Adversarial PII Prompting Framework with Enron Email Templates,对抗性PII提示框架与Enron邮件模板,真实交互,Enron隐私泄露,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,101
secondary,DecodingTrust-Privacy (2023),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Adversarial PII Prompting Framework with Enron Email Templates,对抗性个人身份信息提示框架与Enron邮件模板,真实交互,Enron隐私泄露,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,101
primary,ProPILE (2023),T14,"Lifecycle, Hidden-Split & Contamination Governance",生命周期、隐藏集与污染治理,Multi-Category Synthetic PII Injection & Detection Benchmark,多类别合成PII注入与检测基准,个人信息光谱，，normative，泄漏和识别,合成PII注入,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,102
secondary,ProPILE (2023),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Multi-Category Synthetic PII Injection & Detection Benchmark,多类别合成PII注入与检测基准台账,个人信息光谱，，normative，泄漏和识别,合成PII注入,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,102
primary,ConfAIde (2023),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Contextual Privacy Probe (CPP) — multi-turn adversarial dialogue template with theory-of-mind-triggering prompts,多轮对抗隐私探测模板,渐进式（如角色扮演、情感操纵、假定共识）,多轮套隐私,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,103
secondary,ConfAIde (2023),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Contextual Privacy Probe (CPP) — multi-turn adversarial dialogue template with theory-of-mind-triggering prompts,情境隐私探针多轮对抗对话模板,渐进式（如角色扮演、情感操纵、假定共识）,多轮套隐私,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,103
primary,LLM-PBE (2024),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Privacy-Boundary Entailment (PBE) scorer — semantic entailment framework for information flow control,隐私边界蕴含评分器,语义蕴含推理,语义隐私边界,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,104
secondary,LLM-PBE (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Privacy-Boundary Entailment (PBE) scorer — semantic entailment framework for information flow control,隐私边界蕴含评分器——信息流控制语义蕴含框架,语义蕴含推理,语义隐私边界,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,104
